production_P,injection_P,fcv1_pid
-3.701158,5.003635,100
-3.511657,5.077558,100
-3.440658,4.809067,100
-2.80579,5.396819,100
-3.557348,5.51382,100
-3.132472,5.224658,100
-3.811715,5.497997,100
-3.390988,5.431776,100
-3.036271,5.243678,100
-3.742157,5.12932,100
-3.307808,5.049042,100
-3.885814,5.426899,100
-3.825032,5.112925,100
-3.780237,4.918156,100
-3.697648,5.179633,100
-3.169913,5.223255,100
-3.62477,5.389738,100
-3.588751,5.162436,100
-3.325408,5.465006,100
-3.265207,5.309784,100
-3.459488,4.915436,100
-3.060224,5.159993,100
-3.248628,5.376568,100
-3.362333,4.87545,100
-3.057133,5.017435,100
-3.030071,5.285888,100
-3.118297,5.212166,100
-3.12506,4.524409,100
-2.471925,5.179843,100
-2.901648,4.716458,100
-3.229779,5.256227,100
-3.010106,5.502587,100
-3.20059,4.83991,100
-2.399086,5.257315,100
-2.645115,5.207709,100
-2.728038,5.224477,100
-2.429401,4.738484,100
-2.566829,4.879763,100
-2.684187,4.676148,100
-2.748022,4.880508,100
-2.665939,5.158485,100
-2.57094,5.053108,100
-2.654006,5.137528,100
-2.979324,5.010964,100
-2.406183,4.871098,100
-2.753698,4.979987,100
-2.958271,4.778996,100
-2.179383,5.125961,100
-2.612559,5.244537,100
-2.185679,5.191123,100
-1.910842,4.73606,0
-1.560083,5.38697,0
-0.917489,4.770607,0
-1.012526,4.928873,0
-0.428577,4.967523,0
-0.507598,4.644826,0
0.173028,4.67442,0
0.46495,5.140448,0
-0.205308,5.138367,0
0.045291,5.011098,0
-0.283718,5.317018,0
-0.198401,5.182582,0
0.557955,5.531084,0
0.085078,5.20916,0
0.122385,5.126639,0
0.23526,5.287978,0
0.08174,5.300508,0
0.074013,5.158628,0
-0.32507,5.357195,0
-0.132144,5.102752,0
-0.313938,5.048431,0
-0.418542,4.62303,0
0.026528,4.705379,0
-0.278577,5.032523,0
-0.060487,5.181465,0
-0.176185,4.946404,0
-0.253585,5.19704,0
0.15851,4.951987,0
0.151937,4.704796,0
0.061269,4.790514,0
-0.363951,4.531777,0
0.586248,4.916534,0
0.57027,4.898201,0
0.634963,4.73188,0
0.61433,4.53943,0
0.617736,4.844167,0
0.785527,5.011356,0
0.879467,4.823572,0
0.835788,4.882388,0
0.749069,5.479932,0
0.869975,4.816377,0
0.868478,4.705255,0
1.502993,4.888763,0
1.396766,4.964202,0
1.352687,4.410042,0
